SGD ID	Type	Qualifier	Feature Name	Standard Gene Name	Alias	Parent Feature Name	Secondary SGDID	Chromosome	Start_coordinate	Stop_coordinate	Strand	Genetic Position	Coordinate Version	Sequence Version	Description
S000001532	ORF	Verified	YKL049C	CSE4	centromeric DNA-binding histone H3-like protein CSE4|CSL2	chromosome 11	L000002719	11	346764	346075	C		2/3/2011	2003-01-10|1996-07-31|2003-01-08	"Histone H3-like centromere protein; associated with promoters, accessible chromatin, RNAPII-bound regions; phosphorylated Cse4p associates with centromeres; required for proper kinetochore function; levels regulated by E3 ubiquitin ligase Psh1p; phosphorylation may destabilize defective kinetochores to promote bi-orientation; ubiquitination of N-terminus regulates proteolysis for faithful chromosome segregation; yeast CSE4 can complement mutations in human homolog CENPA"
S000001531	ORF	Verified	YKL048C	ELM1	serine/threonine protein kinase ELM1|LDB9	chromosome 11	L000000548	11	349136	347214	C		2/3/2011	7/31/1996	"Serine/threonine protein kinase; regulates the orientation checkpoint, the morphogenesis checkpoint and the metabolic switch from fermentative to oxidative metabolism by phosphorylating the activation loop of Kin4p, Hsl1p and Snf4p respectively; cooperates with Hsl7p in recruiting Hsl1p to the septin ring, a prerequisite for subsequent recruitment, phosphorylation, and degradation of Swe1p; forms part of the bud neck ring; regulates cytokinesis"
S000001530	ORF	Verified	YKL047W	ANR2		chromosome 11	S000114863	11	349463	351013	W		2/3/2011	7/31/1996	"Protein of unknown function; may have a role in lipid metabolism, based on localization to lipid droplets; predicted to be palmitoylated"
S000001529	ORF	Verified	YKL046C	DCW1	"putative mannan endo-1,6-alpha-mannosidase"	chromosome 11		11	352624	351275	C		2/3/2011	7/31/1996	Putative mannosidase; GPI-anchored membrane protein required for cell wall biosynthesis in bud formation;homologous to Dfg5p
S000001528	ORF	Verified	YKL045W	PRI2	DNA primase subunit PRI2	chromosome 11	L000001490	11	353493	355079	W		2/3/2011	7/31/1996	Subunit of DNA primase; DNA primase is required for DNA synthesis and double-strand break repair
S000001527	ORF	Verified	YKL044W	MMO1		chromosome 11		11	356322	356642	W		2/3/2011	7/31/1996	"Protein of unknown function; SWAT-GFP, seamless-GFP and mCherry fusion proteins localize to the mitochondria; mRNA identified as translated by ribosome profiling data; MMO1 is a non-essential gene"
S000001526	ORF	Verified	YKL043W	PHD1		chromosome 11	L000001417	11	356748	357848	W		2/3/2011	7/31/1996	"Transcriptional activator that enhances pseudohyphal growth; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; regulates expression of FLO11, an adhesin required for pseudohyphal filament formation; similar to StuA, an A. nidulans developmental regulator; potential Cdc28p substrate; PHD1 has a paralog, SOK2, that arose from the whole genome duplication"
S000001525	ORF	Verified	YKL042W	SPC42		chromosome 11	L000004148	11	358475	359566	W		2/3/2011	7/31/1996	"Central plaque component of spindle pole body (SPB); involved in SPB duplication, may facilitate attachment of the SPB to the nuclear membrane"
S000001524	ORF	Verified	YKL041W	VPS24	ESCRT-III subunit protein VPS24|VPL26|DID3	chromosome 11	L000004158	11	360143	360817	W		2/3/2011	7/31/1996	One of four subunits of the ESCRT-III complex; forms an endosomal sorting complex required for transport III (ESCRT-III) subcomplex with Did4p; involved in the sorting of transmembrane proteins into the multivesicular body (MVB) pathway
S000001523	ORF	Verified	YKL040C	NFU1	NUB1	chromosome 11	L000004771	11	361828	361058	C		2/3/2011	7/31/1996	"Protein involved in Fe-S cluster transfer to mitochondrial clients; protects [4Fe-4S] clusters from damage due to oxidative stress; acts along with Bol3 at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to client proteins; Fe-S loaded homodimer at steady state; similar to NifU, a bacterial protein required for Fe/S cluster maturation; ortholog of the human NFU1, mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS1)"
S000001522	ORF	Verified	YKL039W	PTM1		chromosome 11	L000001524	11	362622	364193	W		2/3/2011	1996-07-31|2005-12-15	"Protein of unknown function; copurifies with late Golgi vesicles containing the v-SNARE Tlg2p; PTM1 has a paralog, YHL017W, that arose from the whole genome duplication"
S000001521	ORF	Verified	YKL038W	RGT1		chromosome 11	L000003482	11	365605	369117	W		2/3/2011	7/31/1996	"Glucose-responsive transcription factor; regulates expression of several glucose transporter (HXT) genes in response to glucose; binds to promoters and acts both as a transcriptional activator and repressor; recruits Tup1p/Cyc8p to target gene promoters; RGT1 has a paralog, EDS1, that arose from the whole genome duplication"
S000001520	ORF	Verified	YKL037W	AIM26		chromosome 11		11	369365	369721	W		2/3/2011	7/31/1996	Protein of unknown function; null mutant is viable and displays elevated frequency of mitochondrial genome loss; null mutation confers sensitivity to tunicamycin and DTT
S000001518	ORF	Verified	YKL035W	UGP1	UTP glucose-1-phosphate uridylyltransferase	chromosome 11	L000003118	11	369891	371390	W		2/3/2011	7/31/1996	"UDP-glucose pyrophosphorylase (UGPase); catalyses the reversible formation of UDP-Glc from glucose 1-phosphate and UTP, involved in a wide variety of metabolic pathways, expression modulated by Pho85p through Pho4p; involved in PKA-mediated oxidative stress resistance and long-term survival in stationary phase; UGP1 has a paralog, YHL012W, that arose from the whole genome duplication"
S000001519	ORF	Dubious	YKL036C			chromosome 11		11	369920	369528	C		2/3/2011	7/31/1996	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; partially overlaps the essential gene UGP1 gene and uncharacterized ORF YKL037W"
S000001517	ORF	Verified	YKL034W	TUL1	ubiquitin-protein ligase TUL1	chromosome 11		11	371829	374105	W		2/3/2011	7/31/1996	Subunit of the DSC ubiquitin ligase complex; golgi-localized RING-finger ubiquitin ligase (E3) involved in sorting polar transmembrane domain containing membrane proteins to multivesicular bodies for delivery to the vacuole; proposed involvement in the quality control of misfolded TMD containing proteins; ortholog of fission yeast dsc1
S000007242	ORF	Uncharacterized	YKL033W-A		putative hydrolase	chromosome 11		11	374505	375215	W		2/3/2011	2004-02-13|1999-07-17	Putative protein of unknown function; similar to uncharacterized proteins from other fungi
S000001516	ORF	Verified	YKL033W	TTI1	FMP47	chromosome 11		11	375456	378572	W		2/3/2011	7/31/1996	"Subunit of the ASTRA complex, involved in chromatin remodeling; telomere length regulator involved in the stability or biogenesis of PIKKs such as TORC1; similar to S. pombe Tti1p; detected in highly purified mitochondria in high-throughput studies"
S000001515	ORF	Verified	YKL032C	IXR1	DNA-binding transcription repressor IXR1|ORD1	chromosome 11	L000000881	11	381858	380065	C		2/3/2011	7/31/1996	"Transcriptional repressor that regulates hypoxic genes during normoxia; involved in the aerobic repression of genes such as COX5b, TIR1, and HEM13; binds DNA intrastrand cross-links formed by cisplatin; HMG (high mobility group box) domain containing protein which binds and bends cisplatin-modified DNA, blocking excision repair; IXR1 has a paralog, ABF2, that arose from the whole genome duplication"
S000001514	ORF	Dubious	YKL031W			chromosome 11		11	382072	382485	W		2/3/2011	7/31/1996	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species"
S000001513	ORF	Dubious	YKL030W			chromosome 11		11	382498	383103	W		2/3/2011	7/31/1996	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; partially overlaps the verified gene MAE1"
S000001512	ORF	Verified	YKL029C	MAE1	malate dehydrogenase (oxaloacetate-decarboxylating)	chromosome 11	L000003506	11	384725	382716	C		2/3/2011	7/31/1996	"Mitochondrial malic enzyme; catalyzes the oxidative decarboxylation of malate to pyruvate, which is a key intermediate in sugar metabolism and a precursor for synthesis of several amino acids"
S000001511	ORF	Verified	YKL028W	TFA1	transcription factor TFIIE subunit TFA1	chromosome 11	L000002595	11	385758	387206	W		2/3/2011	7/31/1996	"TFIIE large subunit; involved in recruitment of RNA polymerase II to the promoter, activation of TFIIH, and promoter opening"
S000001510	ORF	Verified	YKL027W	TCD2	tRNA threonylcarbamoyladenosine dehydratase	chromosome 11		11	387562	388905	W		2/3/2011	7/31/1996	"tRNA threonylcarbamoyladenosine dehydratase; required for the ct6A tRNA base modification, where an adenosine at position 37 is modified to form a cyclized active ester with an oxazolone ring; localized to the mitochondrial outer membrane; TCD2 has a paralog, TCD1, that arose from the whole genome duplication"
S000001509	ORF	Verified	YKL026C	GPX1	glutathione peroxidase GPX1	chromosome 11		11	389883	389380	C		2/3/2011	7/31/1996	"Phospholipid hydroperoxide glutathione peroxidase; induced by glucose starvation that protects cells from phospholipid hydroperoxides and nonphospholipid peroxides during oxidative stress; GPX1 has a paralog, HYR1, that arose from the whole genome duplication"
S000001508	ORF	Verified	YKL025C	PAN3	ECM35	chromosome 11	L000003340	11	392279	390240	C		2/3/2011	7/31/1996	Essential subunit of the Pan2p-Pan3p poly(A)-ribonuclease complex; poly (A) mRNA binding subunit which recruits mRNA to the complex; the Pan2p-Pan3p complex controls poly(A) tail length and regulates the stoichiometry and activity of postreplication repair complexes
S000001507	ORF	Verified	YKL024C	URA6	bifunctional uridylate/adenylate kinase|SOC8	chromosome 11	L000002435	11	393140	392526	C	18	2/3/2011	7/31/1996	"Uridylate kinase; catalyzes the seventh enzymatic step in the de novo biosynthesis of pyrimidines, converting uridine monophosphate (UMP) into uridine-5'-diphosphate (UDP)"
S000113559	ORF	Uncharacterized	YKL023C-A			chromosome 11		11	393373	393146	C		2/3/2011	11/17/2005	Putative protein of unknown function
S000001506	ORF	Uncharacterized	YKL023W			chromosome 11		11	393721	394554	W		2/3/2011	1996-07-31|2011-02-03	Putative protein of unknown function; predicted by computational methods to be involved in mRNA degradation; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm
S000001505	ORF	Verified	YKL022C	CDC16	anaphase promoting complex subunit CDC16	chromosome 11	L000000256	11	397248	394726	C	-15	2/3/2011	7/31/1996	"Subunit of the anaphase-promoting complex/cyclosome (APC/C); which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; required for sporulation; relocalizes to the cytosol in response to hypoxia"
S000001504	ORF	Verified	YKL021C	MAK11		chromosome 11	L000000984	11	398750	397344	C	-16	2/3/2011	7/31/1996	Protein involved in an early step of 60S ribosomal subunit biogenesis; essential for cell growth and replication of killer M1 dsRNA virus; contains four beta-transducin repeats
S000001503	ORF	Verified	YKL020C	SPT23		chromosome 11	L000002041	11	402080	398832	C		2/3/2011	7/31/1996	"ER membrane protein involved in regulation of OLE1 transcription; inactive ER form dimerizes and one subunit is then activated by ubiquitin/proteasome-dependent processing followed by nuclear targeting; SPT23 has a paralog, MGA2, that arose from the whole genome duplication"
S000001502	ORF	Verified	YKL019W	RAM2	bifunctional protein farnesyltransferase/protein geranylgeranyltransferase	chromosome 11	L000001580	11	402568	403518	W		2/3/2011	7/31/1996	Alpha subunit of farnesyltransferase and geranylgeranyltransferase-I; farnesyltransferase (Ram2p-Ram1p heterodimer) catalyzes the addition of 15-carbon isoprenoid farnesyl to substrate proteins containing a CAAX consensus motif; type I geranylgeranyltransferase (Ram2p-Cdc43p heterodimer) catalyzes the addition of the 20-carbon isoprenoid geranylgeranyl to substrate proteins containing a CaaL consensus motif; required for membrane localization of Ras proteins and a-factor
S000007615	ORF	Uncharacterized	YKL018C-A			chromosome 11		11	403879	403580	C		2/3/2011	2/26/2001	Putative protein of unknown function; identified by homology; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm
S000001501	ORF	Verified	YKL018W	SWD2	WD-repeat containing protein SWD2|SAF37|CPS35	chromosome 11		11	404102	405091	W		2/3/2011	7/31/1996	"Subunit of the COMPASS (Set1C) histone H3K4 methyltransferase complex; required for Set1C stability and optimal activity; COMPASS methylates histone H3 on lys 4 and is involved in telomeric silencing; subunit of CPF (cleavage and polyadenylation factor), a complex involved in RNAP II transcription termination"
S000001500	ORF	Verified	YKL017C	HCS1	ATP-dependent 5'-3' DNA helicase HCS1|DIP1	chromosome 11	L000003087|L000004272	11	407241	405190	C		2/3/2011	7/31/1996	Hexameric DNA polymerase alpha-associated DNA helicase A; involved in lagging strand DNA synthesis; contains single-stranded DNA stimulated ATPase and dATPase activities; replication protein A stimulates helicase and ATPase activities
S000001499	ORF	Verified	YKL016C	ATP7	F1F0 ATP synthase subunit d	chromosome 11	L000000146	11	407989	407465	C		2/3/2011	7/31/1996	"Subunit d of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis"
S000001498	ORF	Verified	YKL015W	PUT3		chromosome 11	L000001537|L000001528	11	408544	411483	W	-5	2/3/2011	7/31/1996	"Transcriptional activator; binds specific gene recruitment sequences and is required for DNA zip code-mediated targeting of genes to nuclear periphery; regulates proline utilization genes, constitutively binds PUT1 and PUT2 promoters as a dimer, undergoes conformational change to form active state; binds other promoters only under activating conditions; differentially phosphorylated in presence of different nitrogen sources; has a Zn(2)-Cys(6) binuclear cluster domain"
S000001497	ORF	Verified	YKL014C	URB1	NPA1	chromosome 11		11	416913	411619	C		2/3/2011	7/31/1996	Protein required for the normal accumulation of 25S and 5.8S rRNAs; nucleolar protein; associated with the 27SA2 pre-ribosomal particle; proposed to be involved in the biogenesis of the 60S ribosomal subunit
S000001496	ORF	Verified	YKL013C	ARC19		chromosome 11	L000004034	11	418023	417508	C		2/3/2011	7/31/1996	Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches; mutation is functionally complemented by human ARPC4
S000001495	ORF	Verified	YKL012W	PRP40		chromosome 11	L000003078	11	418310	420061	W		2/3/2011	7/31/1996	U1 snRNP protein involved in splicing; interacts with the branchpoint-binding protein during the formation of the second commitment complex
S000001494	ORF	Verified	YKL011C	CCE1	cruciform cutting endonuclease|MGT1	chromosome 11	L000000236	11	421216	420155	C	-2	2/3/2011	7/31/1996	"Mitochondrial cruciform cutting endonuclease; cleaves Holliday junctions formed during recombination of mitochondrial DNA; CCE1 has a paralog, MRS1, that arose from the whole genome duplication"
S000001493	ORF	Verified	YKL010C	UFD4	putative ubiquitin-protein ligase UFD4	chromosome 11	L000003509	11	425875	421424	C		2/3/2011	7/31/1996	"Ubiquitin-protein ligase (E3); interacts with Rpt4p and Rpt6p, two subunits of the 19S particle of the 26S proteasome; cytoplasmic E3 involved in the degradation of ubiquitin fusion proteins; relative distribution to the nucleus increases upon DNA replication stress"
S000001492	ORF	Verified	YKL009W	MRT4		chromosome 11	L000004450	11	426242	426952	W		2/3/2011	7/31/1996	Protein involved in mRNA turnover and ribosome assembly; required at post-transcriptional step for efficient retrotransposition; localizes to the nucleolus
S000001491	ORF	Verified	YKL008C	LAC1	sphingosine N-acyltransferase LAC1|DGT1	chromosome 11		11	428551	427295	C		2/3/2011	7/31/1996	"Ceramide synthase component; involved in synthesis of ceramide from C26(acyl)-coenzyme A and dihydrosphingosine or phytosphingosine, functionally equivalent to Lag1p; LAC1 has a paralog, LAG1, that arose from the whole genome duplication"
S000001490	ORF	Verified	YKL007W	CAP1		chromosome 11	L000000214	11	429302	430108	W	-2	2/3/2011	7/31/1996	Alpha subunit of the capping protein heterodimer (Cap1p and Cap2p); capping protein (CP) binds to the barbed ends of actin filaments preventing further polymerization; localized predominantly to cortical actin patches; protein increases in abundance and relocalizes from bud neck to plasma membrane upon DNA replication stress
S000002101	ORF	Verified	YKL006C-A	SFT1		chromosome 11	L000002949	11	430632	430198	C		2/3/2011	7/31/1996	Intra-Golgi v-SNARE; required for transport of proteins between an early and a later Golgi compartment
S000001489	ORF	Verified	YKL006W	RPL14A	eL14|ribosomal 60S subunit protein L14A|L14e|L14A	chromosome 11	L000002706	11	431906	432720	W		2/3/2011	7/31/1996	"Ribosomal 60S subunit protein L14A; N-terminally acetylated; homologous to mammalian ribosomal protein L14, no bacterial homolog; RPL14A has a paralog, RPL14B, that arose from the whole genome duplication"
S000001488	ORF	Verified	YKL005C	BYE1		chromosome 11		11	434877	433093	C		2/3/2011	7/31/1996	"Negative regulator of transcription elongation; contains a TFIIS-like domain that associates with chromatin and a PHD domain that interacts with H3K4me3; multicopy suppressor of temperature-sensitive ess1 mutations, binds RNA polymerase II large subunit"
S000001487	ORF	Verified	YKL004W	AUR1	inositol phosphorylceramide synthase	chromosome 11	L000002767	11	435580	436785	W		2/3/2011	7/31/1996	Phosphatidylinositol:ceramide phosphoinositol transferase; required for sphingolipid synthesis; can mutate to confer aureobasidin A resistance; also known as IPC synthase
S000001486	ORF	Verified	YKL003C	MRP17	mitochondrial 37S ribosomal protein YmS16	chromosome 11	L000002616	11	437492	437097	C		2/3/2011	7/31/1996	"Mitochondrial ribosomal protein of the small subunit; MRP17 exhibits genetic interactions with PET122, encoding a COX3-specific translational activator"
S000001485	ORF	Verified	YKL002W	DID4	ESCRT-III subunit protein DID4|VPS14|CHM2|VPS2|VPT14|VPL2|REN1|GRD7	chromosome 11	L000002955	11	437778	438544	W		2/3/2011	2000-07-22|1996-07-31	"Class E Vps protein of the ESCRT-III complex; required for sorting of integral membrane proteins into lumenal vesicles of multivesicular bodies, and for delivery of newly synthesized vacuolar enzymes to the vacuole, involved in endocytosis"
S000001484	ORF	Verified	YKL001C	MET14	adenylyl-sulfate kinase	chromosome 11	L000001086	11	439385	438777	C	0.8	2/3/2011	7/31/1996	Adenylylsulfate kinase; required for sulfate assimilation and involved in methionine metabolism; human homolog PAPSS2 complements yeast null mutant
S000001709	ORF	Verified	YKR001C	VPS1	dynamin-like GTPase VPS1|VPT26|VPL1|SPO15|LAM1|GRD1	chromosome 11	L000002006	11	442722	440608	C	-1	2/3/2011	7/31/1996	"Dynamin-like GTPase required for vacuolar sorting; also involved in actin cytoskeleton organization, endocytosis, late Golgi-retention of some proteins, regulation of peroxisome biogenesis"
S000001710	ORF	Verified	YKR002W	PAP1	polynucleotide adenylyltransferase PAP1	chromosome 11	L000001336	11	443232	444938	W	-1	2/3/2011	7/31/1996	"Poly(A) polymerase; one of three factors required for mRNA 3'-end polyadenylation, forms multiprotein complex with polyadenylation factor I (PF I), also required for mRNA nuclear export; may also polyadenylate rRNAs; required for gene looping"
S000001711	ORF	Verified	YKR003W	OSH6	oxysterol-binding protein OSH6	chromosome 11		11	445381	446727	W		2/3/2011	7/31/1996	"Member of an oxysterol-binding protein family; family members have overlapping, redundant functions in sterol metabolism and collectively perform a function essential for viability; GFP-fusion protein localizes to the cell periphery; overexpression extends lifespan by promoting vacuolar fusion; OSH6 has a paralog, OSH7, that arose from the whole genome duplication"
S000001712	ORF	Verified	YKR004C	ECM9	YKR004C-A	chromosome 11	L000003884	11	448036	446799	C		2/3/2011	2003-09-27|1996-07-31	Non-essential protein of unknown function
S000001713	ORF	Uncharacterized	YKR005C			chromosome 11		11	450167	448521	C		2/3/2011	1996-07-31|2007-09-05	Putative protein of unknown function
S000001714	ORF	Verified	YKR006C	MRPL13	mitochondrial 54S ribosomal protein YmL13|YmL13|YK105	chromosome 11	L000001164|L000002526	11	451217	450423	C		2/3/2011	2003-09-22|1996-07-31	Mitochondrial ribosomal protein of the large subunit; not essential for mitochondrial translation
S000001715	ORF	Verified	YKR007W	MEH1	GSE2|EGO1	chromosome 11		11	451434	451988	W		2/3/2011	7/31/1996	Component of the EGO and GSE complexes; EGO is involved in the regulation of microautophagy and GSE is required for proper sorting of amino acid permease Gap1p; loss results in a defect in vacuolar acidification
S000001716	ORF	Verified	YKR008W	RSC4		chromosome 11	L000004026	11	452201	454078	W		2/3/2011	1996-07-31|2011-02-03	"Component of the RSC chromatin remodeling complex; found in close proximity to nucleosomal DNA; displaced from the surface of nucleosomal DNA after chromatin remodeling; acetylated (K25) by Gcn5p, altering replication stress tolerance; contains tandem bromodomains that recognize histone H3 acetylated on K14 (H3K14ac) by Gcn5p"
S000001717	ORF	Verified	YKR009C	FOX2	bifunctional hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase FOX2|POX2	chromosome 11	L000000622	11	457054	454352	C		2/3/2011	7/31/1996	3-hydroxyacyl-CoA dehydrogenase and enoyl-CoA hydratase; multifunctional enzyme of the peroxisomal fatty acid beta-oxidation pathway; mutation is functionally complemented by human HSD17B4
S000001718	ORF	Verified	YKR010C	TOF2		chromosome 11	L000004245	11	461239	458924	C		2/3/2011	7/31/1996	"Protein required for rDNA silencing and mitotic rDNA condensation; stimulates Cdc14p phosphatase activity and biphasic release to promote rDNA repeat segregation; required for condensin recruitment to the replication fork barrier site; TOF2 has a paralog, NET1, that arose from the whole genome duplication"
S000001719	ORF	Verified	YKR011C		TOS5	chromosome 11		11	462696	461635	C		2/3/2011	7/31/1996	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus; protein abundance increases in response to DNA replication stress
S000001721	ORF	Verified	YKR013W	PRY2	sterol-binding protein|YFW12	chromosome 11	L000003217	11	463959	464948	W		2/3/2011	7/31/1996	"Sterol binding protein involved in the export of acetylated sterols; secreted glycoprotein and member of the CAP protein superfamily (cysteine-rich secretory proteins (CRISP), antigen 5, and pathogenesis related 1 proteins); sterol export function is redundant with that of PRY1; may be involved in detoxification of hydrophobic compounds; PRY2 has a paralog, PRY1, that arose from the whole genome duplication"
S000001720	ORF	Dubious	YKR012C			chromosome 11		11	464116	463739	C		2/3/2011	1996-07-31|2011-02-03	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene PRY2"
S000001722	ORF	Verified	YKR014C	YPT52	Rab family GTPase YPT52	chromosome 11	L000002546	11	466071	465367	C		2/3/2011	7/31/1996	"Endosomal Rab family GTPase; required for vacuolar protein sorting, endocytosis and multivesicular body (MVB) biogenesis and sorting; required for localization of the CORVET complex to endosomes; involved in autophagy and ionic stress tolerance; similar to Vps21p and Ypt53p; mammalian Rab5 homolog; protein abundance increases in response to DNA replication stress"
S000001723	ORF	Uncharacterized	YKR015C			chromosome 11		11	468667	466961	C		2/3/2011	7/31/1996	Putative protein of unknown function
S000001724	ORF	Verified	YKR016W	MIC60	FCJ1|AIM28|FMP13	chromosome 11		11	469717	471339	W		2/3/2011	7/31/1996	"Component of the MICOS complex; MICOS (formerly MINOS or MitOS) is a mitochondrial inner membrane complex that extends into the intermembrane space and has a role in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane; Mic60p is also involved in import of intermembrane space (IMS) proteins, probably by positioning Mia40p relative to the TOM complex to receive incoming proteins; ortholog of mammalian mitofilin"
S000001725	ORF	Verified	YKR017C	HEL1	E3 ubiquitin-protein ligase HEL1	chromosome 11		11	473349	471694	C		2/3/2011	7/31/1996	RING finger ubiquitin ligase (E3); involved in ubiquitination and degradation of excess histones; interacts with Ubc4p and Rad53p; null mutant sensitive to hydroxyurea (HU)
S000001726	ORF	Verified	YKR018C			chromosome 11		11	475900	473723	C		2/3/2011	7/31/1996	"Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; protein abundance increases in response to DNA replication stress; YKR018C has a paralog, IML2, that arose from the whole genome duplication"
S000001727	ORF	Verified	YKR019C	IRS4		chromosome 11	L000004394	11	478063	476216	C		2/3/2011	7/31/1996	"EH domain-containing protein; involved in regulating phosphatidylinositol 4,5-bisphosphate levels and autophagy; Irs4p and Tax4p bind and activate the PtdIns phosphatase Inp51p; Irs4p and Tax4p are involved in localizing Atg17p to the PAS; IRS4 has a paralog, TAX4, that arose from the whole genome duplication"
S000001728	ORF	Verified	YKR020W	VPS51	VPS67|API3|WHI6	chromosome 11		11	478338	478832	W		2/3/2011	7/31/1996	"Component of the GARP (Golgi-associated retrograde protein) complex; GARP is required for the recycling of proteins from endosomes to the late Golgi, and for mitosis after DNA damage induced checkpoint arrest; links the (VFT/GARP) complex to the SNARE Tlg1p; members of the GARP complex are Vps51p-Vps52p-Vps53p-Vps54p"
S000001729	ORF	Verified	YKR021W	ALY1	ART6	chromosome 11		11	479234	481981	W		2/3/2011	1996-07-31|2011-02-03	"Alpha arrestin, substrate of calcineurin; controls nutrient-mediated intracellular sorting of permease Gap1p; interacts with AP-1 subunit Apl4p; dephosphorylation of Aly1p required for the endocytosis of Dip5p; may regulate endocytosis of plasma membrane proteins by recruiting ubiquitin ligase Rsp5p to plasma membrane targets; ALY1 has a paralog, ALY2, that arose from the whole genome duplication"
S000001730	ORF	Verified	YKR022C	NTR2		chromosome 11		11	483139	482171	C		2/3/2011	7/31/1996	"Essential protein that forms a dimer with Ntr1p; also forms a trimer, with Ntr2p and the DExD/H-box RNA helicase Prp43p, that is involved in spliceosome disassembly"
S000001731	ORF	Uncharacterized	YKR023W			chromosome 11		11	483419	485011	W		2/3/2011	7/31/1996	"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
S000001732	ORF	Verified	YKR024C	DBP7	putative ATP-dependent RNA helicase	chromosome 11	L000004205	11	487372	485144	C		2/3/2011	7/31/1996	Putative ATP-dependent RNA helicase of the DEAD-box family; involved in ribosomal biogenesis; required at post-transcriptional step for efficient retrotransposition; essential for growth under anaerobic conditions
S000001733	ORF	Verified	YKR025W	RPC37	DNA-directed RNA polymerase III subunit C37|C37	chromosome 11		11	487770	488618	W		2/3/2011	7/31/1996	RNA polymerase III subunit C37
S000001734	ORF	Verified	YKR026C	GCN3	translation initiation factor eIF2B subunit alpha|AAS2	chromosome 11	L000000682	11	489655	488738	C	7	2/3/2011	7/31/1996	"Alpha subunit of translation initiation factor eIF2B; guanine-nucleotide exchange factor for eIF2; activity subsequently regulated by phosphorylated eIF2; positive regulator of GCN4 expression; assembles into filaments with Gcd2p, Gcd6p, Gcd7p, and Sui2p as cells approach stationary phase and under cytosolic acidification and starvation conditions; human homolog EIF2B1 can complement yeast null mutant"
S000001735	ORF	Verified	YKR027W	BCH2	FMP50	chromosome 11		11	491364	493661	W		2/3/2011	7/31/1996	"Member of the ChAPs (Chs5p-Arf1p-binding proteins) family; part of the exomer complex with Chs5p to mediate export of specific cargo proteins, including Chs3p, from the Golgi to the plasma membrane; BCH2 has a paralog, CHS6, that arose from the whole genome duplication"
S000001736	ORF	Verified	YKR028W	SAP190		chromosome 11	L000002600	11	494257	497358	W		2/3/2011	1996-07-31|2011-02-03	"Protein that forms a complex with the Sit4p protein phosphatase; required for Sit4p function; member of a family of similar proteins including Sap4p, Sap155p, and Sap185p; SAP190 has a paralog, SAP185, that arose from the whole genome duplication"
S000001737	ORF	Verified	YKR029C	SET3	histone-binding protein SET3	chromosome 11		11	499833	497578	C		2/3/2011	7/31/1996	"Defining member of the SET3 histone deacetylase complex; which is a meiosis-specific repressor of sporulation genes; necessary for efficient transcription by RNAPII; one of two yeast proteins that contains both SET and PHD domains; SET3 has a paralog, SET4, that arose from the whole genome duplication"
S000001738	ORF	Verified	YKR030W	GMH1	MSG1	chromosome 11		11	500282	501103	W		2/3/2011	7/31/1996	Golgi membrane protein of unknown function; interacts with Gea1p and Gea2p; required for localization of Gea2p; computational analysis suggests a possible role in either cell wall synthesis or protein-vacuolar targeting
S000001739	ORF	Verified	YKR031C	SPO14	phospholipase D|PLD1	chromosome 11	L000002005|L000002946	11	506395	501344	C	18	2/3/2011	7/31/1996	"Phospholipase D; catalyzes the hydrolysis of phosphatidylcholine, producing choline and phosphatidic acid; involved in Sec14p-independent secretion; required for meiosis and spore formation; differently regulated in secretion and meiosis; participates in transcription initiation and/or early elongation of specific genes; interacts with ""foot domain"" of RNA polymerase II; deletion results in abnormal CTD-Ser5 phosphorylation of RNA polymerase II at specific promoter regions"
S000001740	ORF	Uncharacterized	YKR032W			chromosome 11		11	506517	506831	W		2/3/2011	7/31/1996	Putative protein of unknown function; conserved among S. cerevisiae strains
